participant,session,filename
5,2,webcam_test_2018-04-09-20-43-15
5,7,webcam_test_2018-04-18-17-37-42
5,8,webcam_test_2018-04-22-17-47-40
5,10,webcam_test_2018-04-25-20-34-39
5,13,webcam_test_2018-05-06-16-17-51
7,5,webcam_2018-05-02-18-24-39
7,6,webcam_2018-05-03-18-06-40
7,7,webcam_2018-05-06-19-12-30
7,8,webcam_2018-05-07-13-45-42
7,16,webcam_2018-05-12-19-57-06
7,17,webcam_2018-05-13-20-10-37
7,18,webcam_2018-05-14-15-48-58
7,29,webcam_2018-06-08-10-35-44
9,3-1,webcam_2018-06-12-13-24-50
9,3-2,webcam_2018-06-12-18-24-01
9,4,webcam_2018-06-14-08-18-18
9,9,webcam_2018-06-26-15-27-45
9,15,webcam_2018-07-07-07-37-52
11,2,webcam_2018-09-08-10-46-12
11,4,webcam_2018-09-11-17-48-37
11,8,webcam_2018-09-18-20-24-05
11,9,webcam_2018-09-19-19-45-21
11,11,webcam_2018-09-22-12-53-43
11,15,webcam_2018-09-30-22-08-02
11,16-2,webcam_2018-10-01-18-26-50
11,19,webcam_2018-10-04-16-29-54
11,22-2,webcam_2018-10-08-20-16-42
12,2-2,webcam_2018-09-19-16-22-16
12,3,webcam_2018-09-20-14-48-06
12,6,webcam_2018-10-17-19-17-32
12,8,webcam_2018-10-23-19-26-39
12,10,webcam_2018-10-29-15-56-04
17,2,webcam_2018-12-07-20-44-37
17,3,webcam_2018-12-14-18-52-35
17,5,webcam_2019-01-05-07-41-48
17,6,webcam_2019-01-09-19-12-25
18,3,webcam_2018-12-06-19-28-28
18,4,webcam_2018-12-07-20-29-10
18,5,webcam_2018-12-09-19-36-35
18,7,webcam_2018-12-11-19-29-51
18,8,webcam_2018-12-13-19-58-35
18,9,webcam_2018-12-16-18-57-24
18,10,webcam_2018-12-18-19-51-32
18,11,webcam_2018-12-24-15-44-16
18,12,webcam_2018-12-27-18-58-38
18,13,webcam_2018-12-28-07-07-24
18,15,webcam_2019-01-02-20-16-49
18,17,webcam_2019-01-05-07-29-58
18,18,webcam_2019-01-09-19-01-32
18,19,webcam_2019-01-12-14-47-48
18,20,webcam_2019-01-13-19-07-09
