accuracy,auc,f1_0,f1_1,participant,precision_0,precision_1,recall_0,recall_1,train_percent
1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,0.2
1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,0.3
1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,0.4
1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,0.2
1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,0.3
1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,0.4
1.0,1.0,1.0,1.0,7,1.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,0.2
1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,0.3
1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,0.4
1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,11,1.0,1.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,11,1.0,1.0,1.0,1.0,0.2
1.0,1.0,1.0,1.0,11,1.0,1.0,1.0,1.0,0.3
1.0,1.0,1.0,1.0,11,1.0,1.0,1.0,1.0,0.4
1.0,1.0,1.0,1.0,11,1.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,0.2
1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,0.3
1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,0.4
1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,17,1.0,1.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,17,1.0,1.0,1.0,1.0,0.2
1.0,1.0,1.0,1.0,17,1.0,1.0,1.0,1.0,0.3
1.0,1.0,1.0,1.0,17,1.0,1.0,1.0,1.0,0.4
1.0,1.0,1.0,1.0,17,1.0,1.0,1.0,1.0,0.5
1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,0.1
1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,0.2
1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,0.3
1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,0.4
1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,1.0,0.5
