accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.7299974284624866,0.7230125846607695,0.5797297483816649,0.8011104216336261,0.678721478895999,0.7493859295377058,0.505938471174926,0.8605046026044005,"7, 9, 11, 12, 17, 18",5
0.6959746164046221,0.6740267793177979,0.481412669434706,0.7849500546016093,0.5634383390689407,0.740260560799626,0.42023467027697864,0.8353820266377663,"5, 9, 11, 12, 17, 18",7
0.6906466456769194,0.7226898404906188,0.5775331736938891,0.75598144624531,0.5018739509323769,0.8280878561623196,0.6800535892323031,0.6954266192410972,"5, 7, 11, 12, 17, 18",9
0.7579723268970486,0.7723690698607002,0.6670328198258539,0.8098938415883992,0.681960118330229,0.7998972670000454,0.6527450055057417,0.8201434391313103,"5, 7, 9, 12, 17, 18",11
0.7262109116009555,0.7549990511772464,0.6248522182813765,0.7844491637528512,0.592476341066245,0.8098774545991436,0.6609709862566479,0.7605690436904646,"5, 7, 9, 11, 17, 18",12
0.663054832598573,0.6946673798225131,0.5581994614170305,0.7276850871419169,0.48841177306981376,0.7979633145564953,0.6512553831153003,0.6687839455030838,"5, 7, 9, 11, 12, 18",17
0.7066158998634161,0.7236584381546038,0.5482100410574083,0.7827779432442353,0.6297620229702446,0.7368970149059089,0.48535788990357637,0.8347515215978254,"5, 7, 9, 11, 12, 17",18
0.6844905933273608,0.654570037198916,0.45487943606288345,0.7779997114019032,0.6034337736875959,0.7071069633883704,0.36501855620735063,0.8646914830758842,"9, 11, 12, 17, 18","5, 7"
0.7382381606343862,0.7346907736244199,0.5958239991791644,0.806440253220536,0.6129191148013933,0.7958105028366387,0.5796566180874426,0.8173578140044491,"7, 11, 12, 17, 18","5, 9"
0.734866207695564,0.7565461563174216,0.6437445738406731,0.788868584000142,0.7002865889402723,0.7528445648493058,0.5956509695290859,0.8285133976819588,"7, 9, 12, 17, 18","5, 11"
0.7302768344139138,0.7415982359769776,0.6224411887577971,0.7901987624376616,0.6453385906741942,0.7749203209143862,0.6011129660545353,0.8060917850726768,"7, 9, 11, 17, 18","5, 12"
0.7032160673404713,0.7051314890023149,0.562738426641922,0.7753792607725193,0.578633307081844,0.7645900171603373,0.5476934545141776,0.7864773599386032,"7, 9, 11, 12, 18","5, 17"
0.7339108779174338,0.7506309071049306,0.6227138286955997,0.7944827132687787,0.708842929778755,0.7451621359073597,0.5552475780409042,0.8507948803718245,"7, 9, 11, 12, 17","5, 18"
0.7176379980505181,0.7094650848748703,0.531432223021008,0.7979366528306436,0.5102580818345669,0.8124758864999474,0.5544397683236801,0.7839086294416243,"5, 11, 12, 17, 18","7, 9"
0.6991389437225243,0.681428483290396,0.5158914199972718,0.7817515747305167,0.6222734110567882,0.725811976966118,0.44057247462140126,0.8470339628388669,"5, 9, 12, 17, 18","7, 11"
0.6763617368883159,0.6699898817240478,0.5052331113225499,0.7595336008852335,0.5132028580304442,0.7538438842081107,0.49750711059059727,0.7653098582173999,"5, 9, 11, 17, 18","7, 12"
0.6777435477616441,0.6428518128188356,0.47678343447769284,0.7671701960418077,0.4807265032622112,0.7643802050216343,0.4729045240077713,0.7699806286321315,"5, 9, 11, 12, 18","7, 17"
