accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.7514387309019003,0.8170956477329975,0.6063338248718488,0.8183826721350775,0.7269329202586207,0.7601983701866942,0.520055891493411,0.8862118320610687,"7, 9, 11, 12, 17, 18",5
0.767598029929911,0.8201148557229307,0.6097867400327602,0.8345214089655313,0.6990192146425056,0.7916650672399013,0.5407570372877532,0.8822833185979523,"5, 9, 11, 12, 17, 18",7
0.7277306853959796,0.8119429856352437,0.6205974863992872,0.7876832888882174,0.5475334079702723,0.8512507347658547,0.7161640079760718,0.7329499922675702,"5, 7, 11, 12, 17, 18",9
0.8025005112026408,0.8498505801668764,0.7044113146504614,0.8517096922773233,0.7929914361649769,0.8065132508100025,0.6336322164543023,0.9022724104279939,"5, 7, 9, 12, 17, 18",11
0.7579902454973979,0.8193003042147462,0.6564377627066196,0.8132045314340195,0.6432181119870629,0.8223942603541906,0.670212205781686,0.8042179115652861,"5, 7, 9, 11, 17, 18",12
0.7253235601352668,0.8083275855438781,0.6557340671045624,0.7715102064861998,0.5553780517601068,0.8766463057484729,0.8003575201105062,0.6888915190489341,"5, 7, 9, 11, 12, 18",17
0.7780043781690272,0.8471289061982438,0.6436615911343364,0.8387841895729445,0.7824182242990654,0.7764836104752082,0.546706800673435,0.9119541452461147,"5, 7, 9, 11, 12, 17",18
0.7572074648936286,0.8281174288895983,0.583166555481432,0.8287215411558668,0.7656189178668743,0.754809626187669,0.47093858493954266,0.9186798345572719,"9, 11, 12, 17, 18","5, 7"
0.7924843839985823,0.8414263549577912,0.6378833851921999,0.8545726903703013,0.7608926183779796,0.802472195093509,0.5491115991215811,0.9139081642816826,"7, 11, 12, 17, 18","5, 9"
0.7714390749281466,0.8513916766709202,0.6760661224876454,0.8234261370971211,0.7860630759628446,0.7650690079802971,0.5930747922437674,0.891421011441136,"7, 9, 12, 17, 18","5, 11"
0.772892868169188,0.8288204384319193,0.664140261163364,0.8284434908344606,0.7330175367869382,0.79050204735624,0.6070951585976627,0.8702106810387065,"7, 9, 11, 17, 18","5, 12"
0.768297193813794,0.826257496671367,0.6654831493108176,0.822769226063484,0.6700575481020752,0.8198040321228838,0.6609707847128645,0.8257559478127399,"7, 9, 11, 12, 18","5, 17"
0.7693830419003629,0.851421589156591,0.6672297556705622,0.8235495297422742,0.7770504703652037,0.7661353857341979,0.5846071044133477,0.8902660164433724,"7, 9, 11, 12, 17","5, 18"
0.7783366827518984,0.8210386572085737,0.5870880968392738,0.848504786656578,0.6353403522390956,0.825502496479324,0.5456477353223051,0.8728257191201354,"5, 11, 12, 17, 18","7, 9"
0.766109987526189,0.8424623376895263,0.6114319055187816,0.8327053177758721,0.7729677484993387,0.7639672574107923,0.5057413879181228,0.9150357904355773,"5, 9, 12, 17, 18","7, 11"
0.7388332573879992,0.7928143925340913,0.5940539326619102,0.8074909680749097,0.6140275694593244,0.7952238805970149,0.575338798728459,0.8201424482460228,"5, 9, 11, 17, 18","7, 12"
0.7646387177388082,0.8162683988690262,0.6151949561480752,0.8304755993482815,0.6247227984834395,0.8249329510774068,0.6059533721898418,0.8360932325189027,"5, 9, 11, 12, 18","7, 17"
0.7525239719712337,0.8280250105923821,0.589826364348341,0.8228081033131164,0.7266779629106656,0.7609047342877202,0.4963510689599743,0.8956757630742145,"5, 9, 11, 12, 17","7, 18"
0.7950335336208831,0.8549983543574439,0.6834789974203981,0.8484468614618859,0.7027990023358011,0.8374242617223748,0.6651927904972459,0.8597635015224823,"5, 7, 12, 17, 18","9, 11"
0.7668393782383419,0.8401294339871095,0.6518998125745442,0.8247164404482042,0.5947828249852315,0.8666221893651166,0.7211520337769065,0.7866764874375972,"5, 7, 11, 17, 18","9, 12"
0.7571423834838253,0.8290370872312698,0.6243375388928779,0.820573537577163,0.5528642364054741,0.8745757401702261,0.7170344773423388,0.772852418672614,"5, 7, 11, 12, 18","9, 17"
0.7889069219196095,0.8479358042627866,0.6677729094807495,0.8453090953286282,0.6917490729295427,0.8318838103374626,0.6454031066421595,0.8591748138213391,"5, 7, 11, 12, 17","9, 18"
0.7956622577385873,0.8633491803587021,0.7087377051863247,0.8426283723439061,0.7589554854539081,0.8135436942936175,0.6647530163018451,0.8738697430442198,"5, 7, 9, 17, 18","11, 12"
0.7813906953476738,0.8540556926191685,0.7008078871696563,0.8277764640971073,0.6731258220078913,0.8478471474703982,0.7308644325971059,0.8086340536933422,"5, 7, 9, 12, 18","11, 17"
0.8019120960339504,0.8733814557002615,0.716118561544375,0.8478839974734299,0.8471020936060141,0.7830078620339843,0.6202172047465452,0.9244819738890885,"5, 7, 9, 12, 17","11, 18"
0.7808523094937294,0.8363936659593965,0.6707407407407407,0.8357733339491064,0.6497249461851232,0.8494781805948898,0.6931615207961215,0.8225036738527732,"5, 7, 9, 11, 18","12, 17"
0.7989834704406787,0.858862174123828,0.7033126929979143,0.8479984096613076,0.7707654145995748,0.8116091389069462,0.6467160229536467,0.8878039474140622,"5, 7, 9, 11, 17","12, 18"
0.7809665427509294,0.8564682931077706,0.6916382558765477,0.8301653709316116,0.6741779384328358,0.8421782575276543,0.7100270170698759,0.8184903699373153,"5, 7, 9, 11, 12","17, 18"
0.7844255052304535,0.8243099712184128,0.5793425663273819,0.8550788510548605,0.7439468609385044,0.7945161577494881,0.4743817461401831,0.9256362919786761,"11, 12, 17, 18","5, 7, 9"
