accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.798538888,0.886894879,0.65271581,0.833797595,0.841531429,0.761577391,0.565303807,0.923884826,"7, 9, 11, 12, 17, 18",5
0.803946135,0.876340551,0.576272937,0.852118263,0.838253042,0.774936039,0.481945605,0.950517143,"5, 9, 11, 12, 17, 18",7
0.796357895,0.864417173,0.538597256,0.853731124,0.759567736,0.787000773,0.462110477,0.936920147,"5, 7, 11, 12, 17, 18",9
0.822154621,0.894369727,0.670971745,0.854767489,0.818971597,0.801319374,0.603724267,0.918914451,"5, 7, 9, 12, 17, 18",11
0.814216579,0.890763158,0.611336275,0.857800795,0.828084087,0.793867084,0.521002372,0.93576893,"5, 7, 9, 11, 17, 18",12
0.808708985,0.876536553,0.639970933,0.84995566,0.75995403,0.808581793,0.581829914,0.899903148,"5, 7, 9, 11, 12, 18",17
0.8161882,0.881672966,0.666272331,0.852150464,0.817300797,0.789198287,0.586573073,0.928892855,"5, 7, 9, 11, 12, 17",18
0.788854921,0.889156843,0.583109691,0.833891039,0.85045169,0.747608229,0.489619637,0.947410745,"9, 11, 12, 17, 18","5, 7"
0.789701119,0.872939194,0.540398024,0.845107666,0.758412361,0.779736274,0.482946938,0.928654389,"7, 11, 12, 17, 18","5, 9"
0.820030117,0.901894283,0.725883473,0.841901526,0.836571338,0.791796966,0.668656676,0.903219247,"7, 9, 12, 17, 18","5, 11"
0.812159827,0.89187667,0.652185823,0.849419241,0.832221119,0.785331721,0.570725689,0.92848952,"7, 9, 11, 17, 18","5, 12"
0.819671313,0.885452822,0.674650172,0.850217464,0.788085052,0.809674115,0.624595644,0.899052909,"7, 9, 11, 12, 18","5, 17"
0.815535274,0.89434703,0.734999434,0.840546006,0.871441991,0.771405723,0.650166448,0.927193814,"7, 9, 11, 12, 17","5, 18"
0.78700617,0.861366048,0.502181946,0.84878127,0.8034633,0.773583244,0.407501602,0.943114358,"5, 11, 12, 17, 18","7, 9"
